epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3126.43,0.48486,0.47985,0.80944,0.92683,0.78587,0.87098,0.72915,0.67958,0.64747,0.85535,0.00023765,0.00023765,0.00023765
55,3153.15,0.47706,0.47712,0.8084,0.93246,0.78184,0.86995,0.7316,0.67726,0.65129,0.85671,0.0002327,0.0002327,0.0002327
56,3216.41,0.4821,0.48411,0.80996,0.91911,0.79713,0.87317,0.73281,0.67459,0.64223,0.85591,0.00022775,0.00022775,0.00022775
57,3323.28,0.48686,0.48826,0.8086,0.91272,0.80282,0.87573,0.73195,0.68561,0.63218,0.85652,0.0002228,0.0002228,0.0002228
58,3383.32,0.48068,0.47905,0.81127,0.92607,0.79132,0.87445,0.73413,0.673,0.64042,0.85494,0.00021785,0.00021785,0.00021785
59,3435.99,0.4797,0.47978,0.80949,0.92803,0.79041,0.87658,0.7345,0.67515,0.6318,0.85448,0.0002129,0.0002129,0.0002129
60,3505.47,0.49161,0.49469,0.81011,0.92628,0.78678,0.87341,0.73478,0.67256,0.64393,0.85538,0.00020795,0.00020795,0.00020795
61,3533.85,0.48587,0.49895,0.81068,0.92223,0.79572,0.87564,0.7366,0.67146,0.63825,0.85533,0.000203,0.000203,0.000203
62,3578.4,0.48864,0.49331,0.81186,0.93286,0.78877,0.87606,0.73392,0.67654,0.63538,0.85455,0.00019805,0.00019805,0.00019805
63,3615.86,0.47899,0.47285,0.80884,0.93059,0.79216,0.87829,0.73592,0.67886,0.63287,0.85415,0.0001931,0.0001931,0.0001931
64,3648.47,0.47985,0.4805,0.80816,0.93584,0.78913,0.87838,0.73954,0.67292,0.63002,0.85438,0.00018815,0.00018815,0.00018815
65,3684.12,0.48083,0.48489,0.81008,0.91596,0.80379,0.87727,0.73704,0.67329,0.62831,0.85383,0.0001832,0.0001832,0.0001832
66,3764.53,0.48977,0.49714,0.81145,0.93246,0.79148,0.87701,0.73837,0.66908,0.62747,0.85336,0.00017825,0.00017825,0.00017825
